Funding Agency,Implementing Partner - Type,Implementing Partner - Country,Implementing Partner - DUNS Number,Award - Interagency Transfer Status,Award - Title,Award - Benefitting Location,Award - Status,Award - Total Estimated Value,Award - Signing Date,Award - Start Date,Award - End Date,Transaction - Description,Transaction - Value,Transaction - Date,Transaction - Fiscal Year,Transaction - Quarter,Transaction - Type,Transaction - Finance Type,Transaction - Aid Type,Transaction  - Tied Status,Transaction - DAC Purpose Code Name,Transaction - U.S. Foreign Assistance Category,Treasury Account - Starting Fiscal Year,Treasury Account - Ending Fiscal Year,Submission Date to FA.gov
Department of State,,,Information Redacted,,HIAS Psychosocial Assistance,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,396154.22,2/7/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2018,2018,7/16/19
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,54547.51,12/31/17,2018,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2016,2017,12/31/17
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,19189.1,5/31/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,5/31/19
U.S. Agency for International Development,National NGO,United States,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,399898.2,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,3/31/19
U.S. Agency for International Development,,,81159512,Direct Appropriation,Staff Travel Costs,Venezuela,Implementation,0,,10/1/18,9/30/19,,15.1,3/31/19,2019,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,3/31/19
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/07,10/1/13,9/30/14,,121500,12/31/13,2014,1,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/13
Department of State,,,Information Redacted,,From Repression to Action Transforming Youth Lead,Venezuela,,0,,,,Original - GRANTS,4000,4/11/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,10/21/19
U.S. Agency for International Development,,,,Direct Appropriation,Program Support (Civil Society),Venezuela,Finalisation,0,,10/1/12,9/30/13,,-19.08,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2008,0,12/31/12
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights,Venezuela,Finalisation,400000,,10/1/15,9/30/18,,2000,12/31/16,2017,1,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,12/31/16
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,-80783.09,6/30/13,2013,3,Disbursement,Standard grant,Project-type interventions,Untied,Legislatures and political parties,"Democracy, Human Rights, and Governance",2008,2009,6/30/13
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,27742.96,9/30/15,2015,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2014,2015,9/30/15
U.S. Agency for International Development,National NGO,United States,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,24777.57,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/30/19
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/13,9/30/14,,296871.81,12/31/13,2014,1,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/13
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/02,10/1/13,9/30/14,,11886.34,12/31/13,2014,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/13
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,25240,8/31/19,2019,4,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,11/22/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights Leader with Associates Award to Freedom House,Venezuela,Finalisation,0,9/9/13,9/9/13,10/31/15,,250000,3/31/15,2015,2,Commitment,Standard grant,Project-type interventions,Tied,Human rights,"Democracy, Human Rights, and Governance",2014,2015,3/31/15
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Supporting Democratic Institutions and Transparent Electoral Processes,Venezuela,Finalisation,0,8/5/08,8/5/08,9/30/16,,-501,3/31/13,2013,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2009,2010,3/31/13
U.S. Agency for International Development,Private Sector,United States,80125306,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,199412.88,,10/1/17,9/30/19,,65806.25,6/30/19,2019,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,6/30/19
Department of State,,,Information Redacted,,Providing Legal Defense to Political Prisoners,Venezuela,,0,,,,Original - GRANTS,8000,5/3/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,10/21/19
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/14,9/30/15,,156946.09,9/30/15,2015,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/15
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Supporting Democratic Institutions and Transparent Electoral Processes,Venezuela,Finalisation,0,8/8/08,8/5/08,9/30/16,,-29861,3/31/15,2015,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2008,2009,3/31/15
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/17,9/30/18,,550298.3,6/30/18,2018,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/18
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights Leader with Associates Award to Freedom House,Venezuela,Finalisation,0,9/9/13,9/9/13,10/31/15,,-141185.19,9/30/14,2014,4,Disbursement,Standard grant,Project-type interventions,Tied,Human rights,"Democracy, Human Rights, and Governance",2013,2014,9/30/14
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,164783.09,6/30/13,2013,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,6/30/13
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights Leader with Associates Award to Freedom House,Venezuela,Finalisation,0,9/9/13,9/9/13,10/31/15,,250000,6/30/15,2015,3,Commitment,Standard grant,Project-type interventions,Tied,Human rights,"Democracy, Human Rights, and Governance",2014,2015,6/30/15
Department of State,,,Information Redacted,,Strengthening Opportunities and Pro,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,22888,12/13/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2018,2018,7/16/19
U.S. Agency for International Development,National NGO,,15972508,Direct Appropriation,Protection and Promotion of Human Rights in Venezuela,Venezuela,Finalisation,0,9/24/12,9/24/12,9/30/17,,60549.72,3/31/14,2014,2,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2011,2012,3/31/14
U.S. Agency for International Development,,,80304445,Direct Appropriation,Staff Travel Costs,Venezuela,Implementation,0,,10/1/18,9/30/19,,883.5,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,12/31/18
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,2290000,4/1/14,3/31/14,9/30/20,,36221,12/31/15,2016,1,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2013,2014,12/31/15
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,,10/1/17,9/30/18,,81701,12/31/17,2018,1,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/17
U.S. Agency for International Development,,,,Direct Appropriation,Civic Participation,Venezuela,Finalisation,0,,10/1/15,9/30/16,,20874,9/30/16,2016,4,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,9/30/16
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,1400000,8/31/15,8/31/15,9/30/20,,12756,6/30/16,2016,3,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2015,2016,6/30/16
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/15,9/30/16,,-6957.49,6/30/16,2016,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/16
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Civic Participation,Venezuela,Finalisation,0,,10/1/13,9/30/14,,-267.96,3/31/14,2014,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2010,2011,3/31/14
U.S. Agency for International Development,,,,Direct Appropriation,Program Support (Civil Society),Venezuela,Finalisation,0,,10/1/12,9/30/15,,-502.66,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2007,0,12/31/12
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,5185000,4/1/14,3/31/14,9/30/20,,229443.38,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2017,2018,12/31/18
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,7533,6/30/15,2015,3,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2013,2014,6/30/15
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,5940000,4/1/14,3/31/14,9/30/20,,300000,6/30/18,2018,3,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/30/18
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Constitutional Analysis Program,Venezuela,Implementation,2480000,9/30/16,9/30/16,12/31/20,,114805,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,9/30/18
U.S. Agency for International Development,National NGO,United States,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,0,8/31/15,8/31/15,9/30/20,,154322,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2018,2019,6/30/19
Department of State,,,Information Redacted,,Providing Legal Defense to Political Prisoners,Venezuela,,0,,,,Original - GRANTS,3000,12/17/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2016,2017,5/1/19
Inter-American Foundation,,Venezuela,,Direct Appropriation,"Retaining the cacao tradition through economic, environmental, and social development in the Northern sector of the state of Carabobo",Venezuela,,0,,9/5/08,3/5/12,,105956,5/12/10,2010,3,Disbursement,Standard grant,Project-type interventions,Untied,Administrative costs (non-sector allocable),Program Management,2010,2012,9/18/13
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,39919.76,12/31/14,2015,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2013,2014,12/31/14
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/14,9/30/15,,-59650.24,6/30/15,2015,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/15
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Supporting Democratic Institutions and Transparent Electoral Processes,Venezuela,Finalisation,0,8/5/08,8/5/08,9/30/16,,13034.18,12/31/12,2013,1,Disbursement,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2012,2013,12/31/12
U.S. Agency for International Development,,,790238638,Direct Appropriation,Staff Travel Costs,Venezuela,Implementation,0,,10/1/18,9/30/19,,4047.09,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,12/31/18
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,1050000,4/1/14,3/31/14,9/30/20,,133000,3/31/17,2017,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,3/31/17
U.S. Agency for International Development,,,,Direct Appropriation,Program Support (Civil Society),Venezuela,Finalisation,0,,10/1/12,9/30/13,,-35412.46,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2008,0,12/31/12
U.S. Agency for International Development,,,790238638,Direct Appropriation,Staff Travel Costs,Venezuela,Finalisation,0,,10/1/17,9/30/18,,5401.42,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,9/30/18
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Implementation,0,,10/1/18,9/30/19,,-4210.49,12/31/18,2019,1,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/18
U.S. Agency for International Development,National NGO,United States,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,44113.23,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2017,2018,6/30/19
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,5505,8/31/19,2019,4,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,11/22/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights Leader with Associates Award to Freedom House,Venezuela,Finalisation,0,9/9/13,9/9/13,10/31/15,,244000,6/30/14,2014,3,Disbursement,Standard grant,Project-type interventions,Tied,Human rights,"Democracy, Human Rights, and Governance",2013,2014,6/30/14
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/13,9/30/14,,693.73,12/31/13,2014,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/13
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,4135.83,7/31/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,11/22/19
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,2785000,4/1/14,3/31/14,9/30/20,,37104,9/30/16,2016,4,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2014,2015,9/30/16
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,21020.25,5/31/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,5/31/19
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/17,9/30/18,,136335.66,6/30/18,2018,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/18
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,4094543,4/1/14,3/31/14,3/31/20,,156545.95,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Public finance management (PFM),"Democracy, Human Rights, and Governance",2017,2018,12/31/18
U.S. Agency for International Development,National NGO,United States,,Direct Appropriation,Emergency humanitarian assistance award,Venezuela,Implementation,2000000,10/1/18,9/30/18,9/30/19,,98073,5/31/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Emergency food assistance,Humanitarian Assistance,2018,0,5/31/19
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/15,9/30/16,,113544.48,12/31/15,2016,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/15
U.S. Agency for International Development,National NGO,United States,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,600000,3/31/19,2019,2,Commitment,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2018,2019,3/31/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,2100000,8/31/15,8/31/15,9/30/20,,184129,12/31/17,2018,1,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2016,2017,12/31/17
U.S. Agency for International Development,National NGO,United States,,Direct Appropriation,Emergency award with FFP and OFDA for South America response,Venezuela,Implementation,1188500,9/15/18,9/15/18,7/31/19,,107013.36,5/31/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Emergency food assistance,Humanitarian Assistance,2018,0,5/31/19
U.S. Agency for International Development,National NGO,United States,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,0,4/1/14,3/31/14,3/31/20,,392198,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Public finance management (PFM),"Democracy, Human Rights, and Governance",2017,2018,6/30/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,2944543,4/1/14,3/31/14,3/31/20,,57297.33,3/31/18,2018,2,Disbursement,Standard grant,Project-type interventions,Untied,Public finance management (PFM),"Democracy, Human Rights, and Governance",2017,2018,3/31/18
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Supporting Democratic Institutions and Transparent Electoral Processes,Venezuela,Finalisation,0,8/5/08,8/5/08,9/30/16,,330000,12/31/12,2013,1,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2012,2013,12/31/12
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Civic Participation,Venezuela,Finalisation,0,,10/1/12,9/30/14,,-24461.01,6/30/13,2013,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2010,2011,6/30/13
U.S. Agency for International Development,National NGO,United States,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,0,8/31/15,8/31/15,9/30/20,,158895,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2017,2018,3/31/19
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/13,9/30/14,,49752.63,6/30/14,2014,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/14
Inter-American Foundation,,Venezuela,,Direct Appropriation,ARCA: Community Center for Training and Fair Trade,Venezuela,,0,,9/5/08,3/5/12,,50500,4/19/10,2010,3,Disbursement,Standard grant,Project-type interventions,Untied,Administrative costs (non-sector allocable),Program Management,2010,2012,9/18/13
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,1400000,8/31/15,8/31/15,9/30/20,,51933,3/31/17,2017,2,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2016,2017,3/31/17
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/02,10/1/12,9/30/13,,98692.6,9/30/13,2013,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/13
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,395068.47,12/31/12,2013,1,Disbursement,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2012,2013,12/31/12
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/12,9/30/13,,138180.01,6/30/13,2013,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/13
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,3987.98,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,11/22/19
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,1299459.23,,10/1/13,9/30/19,,175208.45,6/30/16,2016,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2015,2016,6/30/16
U.S. Agency for International Development,Government,,,Direct Appropriation,OTI/PEACE & DEMOCRACY ADVNCD IN KEY CONFLICT-PRONE COUNTRIES,Venezuela,Finalisation,0,,10/1/14,9/30/15,,-384.68,6/30/15,2015,3,Commitment,Standard grant,Project-type interventions,Tied,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2005,0,6/30/15
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,1350000,4/1/14,3/31/14,9/30/20,,29564.63,9/30/17,2017,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,9/30/17
Department of State,,,Information Redacted,,"Grants, Subsidies and Contributions - Cooperative Agreements",Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,255929,3/7/18,2018,2,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2018,0,6/24/19
U.S. Agency for International Development,,,80304445,Direct Appropriation,Staff Travel Costs,Venezuela,Implementation,0,,10/1/18,9/30/19,,4453.57,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,12/31/18
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Constitutional Analysis Program,Venezuela,Implementation,2480000,9/30/16,9/30/16,12/31/20,,65000,9/30/18,2018,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,9/30/18
U.S. Agency for International Development,,,790238638,Direct Appropriation,Staff Travel Costs,Venezuela,Implementation,0,,10/1/18,9/30/19,,30285,12/31/18,2019,1,Commitment,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,12/31/18
U.S. Agency for International Development,Private Sector,United States,809168102,Direct Appropriation,CBSI-DC-ESF-LAC/CAR A&O,Venezuela,Implementation,0,3/26/18,3/26/18,3/25/23,,57577.99,9/30/19,2019,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,11/22/19
U.S. Agency for International Development,,,,Direct Appropriation,OTI/PEACE & DEMOCRACY ADVNCD IN KEY CONFLICT-PRONE COUNTRIES,Venezuela,Finalisation,0,,10/1/14,9/30/15,,-80,6/30/15,2015,3,Commitment,Standard grant,Project-type interventions,Tied,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2005,0,6/30/15
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Supporting Democratic Institutions and Transparent Electoral Processes,Venezuela,Finalisation,0,8/5/08,8/5/08,9/30/16,,523289.28,12/31/13,2014,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,12/31/13
U.S. Agency for International Development,Private Sector,United States,,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Implementation,9700,,10/1/18,9/30/19,,950,6/30/19,2019,3,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,6/30/19
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/05,10/1/15,9/30/16,,15000,9/30/16,2016,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/16
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,2944543,4/1/14,3/31/14,3/31/20,,163825,9/30/17,2017,4,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2016,2017,9/30/17
U.S. Agency for International Development,National NGO,United States,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,210680.43,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2018,2019,11/22/19
Inter-American Foundation,,Venezuela,,Direct Appropriation,Recycling for Sustainability,Venezuela,,0,,9/5/08,9/5/11,,97806,4/27/09,2009,3,Disbursement,Standard grant,Project-type interventions,Untied,Multisector aid,Economic Development,2009,2011,9/18/13
Department of State,,,Information Redacted,,Combatting Corruption in Venezuela,Venezuela,,0,,,,Original - GRANTS,14000,10/26/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2017,2018,5/1/19
